Date	company_id	company_name	cusip8	MSCIsec	ticker
06/30/2013	FGW52F-S-US	Tenneco Inc.	88034910	Consumer Discretionary	TEN
06/30/2013	NT47N2-S-US	Teradyne Inc.	88077010	Information Technology	TER US
06/30/2013	L0V9YQ-S-US	Tesco Corp.	88157K10	Energy	TESO US
06/30/2013	CC0QLL-S-US	TESSCO Technologies Inc.	87238610	Information Technology	TESS US
06/30/2013	CGLVJW-S-US	Terex Corp.	88077910	Industrials	TEX US
06/30/2013	CXFH14-S-US	The Fresh Market Inc.	35804H10	Consumer Staples	TFM US
06/30/2013	S3CPHJ-S-US	TFS Financial Corp.	87240R10	Financials	TFSL US
06/30/2013	T6776H-S-US	Teleflex Inc.	87936910	Health Care	TFX US
06/30/2013	BGY5CP-S-US	Tredegar Corp.	89465010	Industrials	TG US
06/30/2013	T7GTTQ-S-US	TGC Industries Inc.	87241730	Energy	TGE US
06/30/2013	F1CT9Y-S-US	Textainer Group Holdings Ltd.	G8766E10	Industrials	TGH US
06/30/2013	FJ0D8H-S-US	Triumph Group Inc.	89681810	Industrials	TGI US
06/30/2013	WX72B4-S-US	Target Corp.	8.76E+14	Consumer Discretionary	TGT US
06/30/2013	QLQSVL-S-US	Tenet Healthcare Corp.	88033G40	Health Care	THC US
06/30/2013	NYJB5S-S-US	First Financial Corp. (Indiana)	32021810	Financials	THFF US
06/30/2013	SY7WGC-S-US	The Hanover Insurance Group Inc.	41086710	Financials	THG US
06/30/2013	CTV80V-S-US	Threshold Pharmaceuticals Inc.	88580720	Health Care	THLD US
06/30/2013	WM5J7V-S-US	Thor Industries Inc.	88516010	Consumer Discretionary	THO US
06/30/2013	DCZPLL-S-US	Thoratec Corp.	88517530	Health Care	THOR US
06/30/2013	BG4MPS-S-US	Thermon Group Holdings Inc.	88362T10	Industrials	THR US
06/30/2013	SHSV1Z-S-US	Gentherm Inc.	37253A10	Consumer Discretionary	THRM US
06/30/2013	M8B979-S-US	Theravance Inc.	88338T10	Health Care	THRX US
06/30/2013	VCM03W-S-US	TreeHouse Foods Inc.	89469A10	Consumer Staples	THS US
06/30/2013	P6FSB4-S-US	TIBCO Software Inc.	88632Q10	Information Technology	TIBX US
06/30/2013	V2M364-S-US	TICC Capital Corp.	87244T10	Financials	TICC US
06/30/2013	M2QXKL-S-US	Tiffany & Co.	88654710	Consumer Discretionary	TIF US
06/30/2013	S3B3H1-S-US	Interface Inc.	45866530	Industrials	TILE US
06/30/2013	CZC6Z6-S-US	Harris & Harris Group Inc. (New York)	41383310	Financials	TINY US
06/30/2013	W3GF7Q-S-US	Orchids Paper Products Co.	68572N10	Consumer Staples	TIS US
06/30/2013	T67P1X-S-US	Team Inc.	87815510	Industrials	TISI US
06/30/2013	WX6X43-S-US	Titan Machinery Inc.	88830R10	Industrials	TITN US
06/30/2013	LKV0H0-S-US	TiVo Inc.	88870610	Information Technology	TIVO US
06/30/2013	VVB1XW-S-US	The TJX Cos. Inc.	87254010	Consumer Discretionary	TJX US
06/30/2013	VNRDMV-S-US	Teekay Corp.	Y8564W10	Energy	TK US
06/30/2013	RVCJ5M-S-US	The Timken Co.	88738910	Industrials	TKR US
06/30/2013	T3Y6RV-S-US	Tellabs Inc.	87966410	Information Technology	TLAB US
06/30/2013	QXRPYH-S-US	Tilly's Inc.	88688510	Consumer Discretionary	TLYS US
06/30/2013	WV6DYG-S-US	Team Health Holdings Inc.	87817A10	Health Care	TMH US
06/30/2013	MXWGG8-S-US	Torchmark Corp.	89102710	Financials	TMK US
06/30/2013	LY6R71-S-US	Thermo Fisher Scientific Inc.	88355610	Health Care	TMO US
06/30/2013	HMWK40-S-US	Tompkins Financial Corp.	89011010	Financials	TMP US
06/30/2013	F1LYYN-S-US	TMS International Corp.	87261Q10	Industrials	TMS
06/30/2013	WYK7VS-S-US	T-Mobile US Inc.	87259010	Telecommunication Services	TMUS US
06/30/2013	PW505V-S-US	TeleNav Inc.	87945510	Information Technology	TNAV US
06/30/2013	QP063N-S-US	Tennant Co.	88034510	Industrials	TNC US
06/30/2013	TNL7Z4-S-US	Tangoe Inc.	87582Y10	Information Technology	TNGO US
06/30/2013	LVS204-S-US	Teekay Tankers Ltd.	Y8565N10	Energy	TNK US
06/30/2013	PFDHRL-S-US	Toll Brothers Inc.	88947810	Consumer Discretionary	TOL US
06/30/2013	QF1LT7-S-US	TowneBank	89214P10	Financials	TOWN US
06/30/2013	K3QF1G-S-US	Tower International Inc. (Michigan)	89182610	Consumer Discretionary	TOWR US
06/30/2013	TY1SPJ-S-US	Tutor Perini Corp.	90110910	Industrials	TPC US
06/30/2013	HJNJC4-S-US	Thomas Properties Group Inc.	88445310	Financials	TPGI US
06/30/2013	BJMMFY-S-US	TRI Pointe Homes Inc.	87265H10	Consumer Discretionary	TPH US
06/30/2013	B2BSVB-S-US	Triangle Petroleum Corp.	89600B20	Energy	TPLM US
06/30/2013	GFK7WX-S-US	Tempur Sealy International Inc.	88023U10	Consumer Discretionary	TPX US
06/30/2013	NSYKTR-S-US	TriQuint Semiconductor Inc.	89674K10	Information Technology	TQNT US
06/30/2013	P0RK6R-S-US	Tootsie Roll Industries Inc.	89051610	Consumer Staples	TR US
06/30/2013	RZZBKN-S-US	Dealertrack Technologies Inc.	24230910	Information Technology	TRAK US
06/30/2013	Q3Z755-S-US	Tejon Ranch Co.	87908010	Financials	TRC US
06/30/2013	KM6R8C-S-US	Tree.Com Inc.	89467510	Financials	TREE US
06/30/2013	R2HFP2-S-US	Trex Co. Inc.	89531P10	Industrials	TREX US
06/30/2013	B0HDHL-S-US	Targa Resources Corp.	87612G10	Energy	TRGP US
06/30/2013	PD5X19-S-US	Targacept Inc.	87611R30	Health Care	TRGT US
06/30/2013	N5N8R8-S-US	Thomson Reuters Corp.		Consumer Discretionary	TRI
06/30/2013	RX8FJX-S-US	TripAdvisor Inc.	89694520	Consumer Discretionary	TRIP US
06/30/2013	BCJKZL-S-US	Speedway Motorsports Inc.	84778810	Consumer Discretionary	TRK US
06/30/2013	PY7J8F-S-US	Trulia Inc.	89788810	Information Technology	TRLA US
06/30/2013	T8H9W8-S-US	True Religion Apparel Inc.	89784N10	Consumer Discretionary	TRLG
06/30/2013	QXV6LQ-S-US	Trimble Navigation Ltd.	89623910	Information Technology	TRMB US
06/30/2013	TXXHHH-S-US	Trustmark Corp.	89840210	Financials	TRMK US
06/30/2013	NJZYG9-S-US	Trinity Industries Inc.	89652210	Industrials	TRN US
06/30/2013	RS038V-S-US	Terreno Realty Corp.	88146M10	Financials	TRNO US
06/30/2013	D1YH5N-S-US	Tornier NV	N8723710	Health Care	TRNX US
06/30/2013	RWGCRD-S-US	T. Rowe Price Group Inc.	74144T10	Financials	TROW US
06/30/2013	CL026M-S-US	TRC Cos. Inc.	87262510	Industrials	TRR US
06/30/2013	FKCS38-S-US	TriMas Corp.	89621520	Industrials	TRS US
06/30/2013	TJFC45-S-US	TrustCo Bank Corp.	89834910	Financials	TRST US
06/30/2013	G8VDR1-S-US	The Travelers Cos. Inc.	8.94E+14	Financials	TRV US
06/30/2013	HHBL8Q-S-US	TRW Automotive Holdings Corp.	87264S10	Consumer Discretionary	TRW US
06/30/2013	PM37VG-S-US	Tractor Supply Co.	89235610	Consumer Discretionary	TSCO US
06/30/2013	WWDPYB-S-US	Tesla Motors Inc.	88160R10	Consumer Discretionary	TSLA US
06/30/2013	H0KFGR-S-US	Tyson Foods Inc.	90249410	Consumer Staples	TSN US
06/30/2013	HGC6B6-S-US	Tesoro Corp.	88160910	Energy	TSO US
06/30/2013	H0NKFP-S-US	Transcept Pharmaceuticals Inc.	89354M10	Health Care	TSPT US
06/30/2013	TR7XMQ-S-US	Tessera Technologies Inc.	88164L10	Information Technology	TSRA US
06/30/2013	R6PJY9-S-US	TESARO Inc.	88156910	Health Care	TSRO US
06/30/2013	DQBNRT-S-US	Trius Therapeutics Inc.	89685K10	Health Care	TSRX
06/30/2013	KDDG4Y-S-US	Total System Services Inc.	89190610	Information Technology	TSS US
06/30/2013	W7SP9Q-S-US	The Toro Co.	89109210	Industrials	TTC US
06/30/2013	T2SLVF-S-US	TeleTech Holdings Inc.	87993910	Information Technology	TTEC US
06/30/2013	XGFMYW-S-US	Tetra Tech Inc.	88162G10	Industrials	TTEK US
06/30/2013	K2CRLC-S-US	TechTarget Inc.	87874R10	Information Technology	TTGT US
06/30/2013	M2S0NM-S-US	TETRA Technologies Inc.	88162F10	Energy	TTI US
06/30/2013	W3D3VK-S-US	TTM Technologies Inc.	87305R10	Information Technology	TTMI US
06/30/2013	RXH8LB-S-US	Take-Two Interactive Software Inc.	87405410	Information Technology	TTWO US
06/30/2013	CC0BW7-S-US	Mac-Gray Corp.	55415310	Consumer Discretionary	TUC US
06/30/2013	F17N7X-S-US	Tuesday Morning Corp.	89903550	Consumer Discretionary	TUES US
06/30/2013	J5T6XJ-S-US	Tumi Holdings Inc.	89969Q10	Consumer Discretionary	TUMI US
06/30/2013	NHWYMD-S-US	Tupperware Brands Corp.	89989610	Consumer Discretionary	TUP US
06/30/2013	HHC5D8-S-US	Towers Watson & Co.	89189410	Industrials	TW US
06/30/2013	M3T3WR-S-US	Time Warner Cable Inc.	88732J20	Consumer Discretionary	TWC US
06/30/2013	RPW4BT-S-US	Towerstream Corp.	89200010	Telecommunication Services	TWER US
06/30/2013	S7WSQ0-S-US	Tower Group International Ltd.	G8988C10	Financials	TWGP US
06/30/2013	H30B6Z-S-US	Titan International Inc.	88830M10	Industrials	TWI US
06/30/2013	R4SNHX-S-US	Twin Disc Inc.	90147610	Industrials	TWIN US
06/30/2013	X7FN7C-S-US	Two Harbors Investment Corp.	90187B10	Financials	TWO US
06/30/2013	C32BPC-S-US	TW Telecom Inc.	87311L10	Telecommunication Services	TWTC US
06/30/2013	DTKZ1Y-S-US	Time Warner Inc.	88731730	Consumer Discretionary	TWX US
06/30/2013	PQH0NS-S-US	Texas Industries Inc.	88249110	Materials	TXI US
06/30/2013	SJWX0Y-S-US	Texas Instruments Incorporated.	88250810	Information Technology	TXN US
06/30/2013	CFHCSJ-S-US	Texas Roadhouse Inc.	88268110	Consumer Discretionary	TXRH US
06/30/2013	DMY7TZ-S-US	Textron Inc.	88320310	Industrials	TXT US
06/30/2013	G4F739-S-US	Tyco International Ltd.	H8912810	Industrials	TYC US
06/30/2013	VPXV41-S-US	Tyler Technologies Inc.	90225210	Information Technology	TYL US
06/30/2013	K3DJ55-S-US	Monotype Imaging Holdings Inc.	61022P10	Information Technology	TYPE US
06/30/2013	SHS7YF-S-US	Travelzoo Inc.	89421Q10	Information Technology	TZOO US
06/30/2013	JYZBJF-S-US	Under Armour Inc.	90431110	Consumer Discretionary	UA US
06/30/2013	Q8L0H5-S-US	Universal Truckload Services Inc.	91388P10	Industrials	UACL US
06/30/2013	VCSCBX-S-US	United Continental Holdings Inc.	91004710	Industrials	UAL US
06/30/2013	W2952P-S-US	Universal American Corp.	9.13E+14	Health Care	UAM US
06/30/2013	V4QQBQ-S-US	United States Antimony Corp.	91154910	Materials	UAMY US
06/30/2013	HN03YC-S-US	Urstadt Biddle Properties Inc.	91728620	Financials	UBA US
06/30/2013	SJZL4G-S-US	United Financial Bancorp Inc.	91030T10	Financials	UBNK US
06/30/2013	VJYLZ9-S-US	Ubiquiti Networks Inc.	90347A10	Information Technology	UBNT US
06/30/2013	W6SBJ9-S-US	Union First Market Bankshares Corp.	90662P10	Financials	UBSH US
06/30/2013	G0Y0QR-S-US	United Bankshares Inc. (West Virginia)	90990710	Financials	UBSI US
06/30/2013	QR54TH-S-US	United Community Banks Inc.	90984P30	Financials	UCBI US
06/30/2013	T2T4WY-S-US	Ultra Clean Holdings Inc.	90385V10	Information Technology	UCTT US
06/30/2013	WCCDGM-S-US	UDR Inc.	90265310	Financials	UDR US
06/30/2013	V08ZNG-S-US	Uranium Energy Corp.	91689610	Energy	UEC US
06/30/2013	F9B994-S-US	Universal Electronics Inc.	91348310	Consumer Discretionary	UEIC US
06/30/2013	HTQ5MJ-S-US	United Fire Group Inc.	91034010	Financials	UFCS US
06/30/2013	PY8VSN-S-US	Unifi Inc.	90467720	Consumer Discretionary	UFI US
06/30/2013	QR89VG-S-US	Universal Forest Products Inc.	91354310	Industrials	UFPI US
06/30/2013	Q1KGL0-S-US	UFP Technologies Inc.	90267310	Materials	UFPT US
06/30/2013	W11X3S-S-US	Domtar Corp.	25755920	Materials	UFS US
06/30/2013	JQXTSC-S-US	UGI Corp.	90268110	Utilities	UGI US
06/30/2013	QNWXWL-S-US	AMERCO	2358610	Industrials	UHAL US
06/30/2013	JPY35J-S-US	Universal Health Services Inc.	91390310	Health Care	UHS US
06/30/2013	KTZH52-S-US	Universal Health Realty Income Trust	9.14E+14	Financials	UHT US
06/30/2013	XG83DP-S-US	UIL Holdings Corp.	90274810	Utilities	UIL
06/30/2013	VDVKP2-S-US	Unisys Corp.	90921430	Information Technology	UIS US
06/30/2013	LTMSR1-S-US	Ulta Salon Cosmetics & Fragrance Inc.	90384S30	Consumer Discretionary	ULTA US
06/30/2013	P9WP6G-S-US	The Ultimate Software Group Inc.	90385D10	Information Technology	ULTI US
06/30/2013	PP76NC-S-US	UMB Financial Corp.	90278810	Financials	UMBF US
06/30/2013	DVLWYX-S-US	UMH Properties Inc.	90300210	Financials	UMH US
06/30/2013	P7Q8N6-S-US	Umpqua Holdings Corp.	90421410	Financials	UMPQ US
06/30/2013	DG3TQN-S-US	UniFirst Corp.	90470810	Consumer Discretionary	UNF US
06/30/2013	PZ97N3-S-US	United Natural Foods Inc.	91116310	Consumer Staples	UNFI US
06/30/2013	R4SVX3-S-US	UnitedHealth Group Inc.	91324P10	Health Care	UNH US
06/30/2013	DWSCN8-S-US	Unilife Corp.	9.05E+14	Health Care	UNIS US
06/30/2013	WDC30F-S-US	Unum Group	91529Y10	Financials	UNM US
