date	_STAT_	BIDLO	ASKHI	PRC	VOL	RET	BID	ASK	OPENPRC	RETX	vwretd	vwretx	ewretd	ewretx
20000406	MEAN	24.502487265	25.526530612	24.77130102	260949.87347	0.0082963592	25.403234649	25.915296053	25.039548755	0.0082737469	0.015982	0.015844	0.019023	0.018955
20000407	MEAN	24.619005102	25.588648	23.496046	261950.77551	0.0092922898	24.855138889	25.347222222	24.590104208	0.0092922898	0.014578	0.014576	0.012993	0.012973
20000410	MEAN	24.542984694	25.591900531	24.539795918	265365.62449	-0.00811038	25.404891304	25.855027174	25.286783875	-0.00811038	-0.019462	-0.019464	-0.016981	-0.016989
20000411	MEAN	24.406505102	25.437308694	24.784056122	272711.50204	-0.000129347	25.339983259	25.789202009	24.82343107	-0.000141114	-0.010333	-0.010372	-0.015819	-0.015852
20000412	MEAN	24.478061265	25.67927298	24.801977061	341615.86122	-0.000369302	25.639444444	26.119861111	25.123966942	-0.000530437	-0.02995	-0.03003	-0.027047	-0.027247
20000413	MEAN	24.417346939	25.526211796	24.837627551	317873.82857	-0.003156571	25.469453829	25.93482545	25.016777664	-0.003288543	-0.017178	-0.017185	-0.015763	-0.015841
20000414	MEAN	23.441071429	24.856122449	23.851020449	370170.20816	-0.035536404	24.123144977	24.637842466	24.557633197	-0.035536404	-0.066264	-0.066266	-0.063529	-0.063575
20000417	MEAN	23.085841837	24.467028082	23.662882653	333287.29388	0.0027448	24.399179864	24.893806561	23.804006763	0.0027448	0.029332	0.02933	-0.009459	-0.009487
20000418	MEAN	23.508609714	24.893431184	24.330803633	347469.37959	0.0212295673	25.066863739	25.562077703	24.000257202	0.0212295673	0.038526	0.03848	0.048376	0.048314
20000419	MEAN	23.991645429	25.07359698	23.643431143	277764.19592	0.0064578612	25.095145089	25.612304688	24.521312762	0.0064249061	-0.007653	-0.007693	0.011471	0.011432
20000420	MEAN	24.166900531	25.196045959	24.392857143	278252.66531	0.0044123469	25.202914798	25.710482063	24.998621345	0.0044123469	0.00061	0.000466	0.003053	0.003025
20000424	MEAN	24.132334204	25.278635224	24.641645429	316727.49796	0.0015593959	25.527064732	26.031668527	24.729338926	0.0015108204	-0.0106	-0.010606	-0.017589	-0.017605
20000425	MEAN	24.493877551	25.744260204	25.212818857	337878.31837	0.0207115347	26.125	26.586397059	25.147691909	0.0206131306	0.038899	0.038898	0.023625	0.023609
20000426	MEAN	24.734438776	25.825	24.910331633	317721.85306	-0.006039171	25.605855856	26.054476351	25.432076488	-0.006109469	-0.011322	-0.011408	-0.002103	-0.002331
20000427	MEAN	24.490880122	25.538010245	24.602104612	269804.55918	0.001998551	25.456657609	25.905027174	25.374139322	0.0019860694	0.007191	0.007096	0.004444	0.00435
20000428	MEAN	24.78992351	25.692665837	24.869260286	253478.84082	0.0078178612	25.52375	25.946111111	25.525496904	0.0078068041	0.00107	0.001025	0.014907	0.014858
20000501	MEAN	24.998533184	26.026211755	25.429209224	264708.11429	0.0127188612	26.138157895	26.557565789	25.491701245	0.0127188612	0.015165	0.015159	0.018058	0.018009
20000502	MEAN	25.014477061	25.972385224	24.980420939	262688.77551	-0.013033229	25.791484716	26.233078603	25.692232905	-0.01309038	-0.019397	-0.019409	-0.008346	-0.008407
20000503	MEAN	24.521747469	25.530676041	24.438456694	245633.00408	-0.008698624	25.528484513	25.981747788	25.479864017	-0.008758057	-0.02112	-0.021224	-0.014465	-0.014589
20000504	MEAN	24.59119902	25.537882694	24.547130122	251671.32653	0.0098777143	25.057756696	25.527622768	25.232011597	0.0097493592	0.000849	0.000812	0.006203	0.006123
20000505	MEAN	24.901721959	25.887818898	25.181696449	246353.10204	0.014782102	26.083517699	26.572455752	25.288411458	0.0147639306	0.015547	0.015536	0.00844	0.0084
20000508	MEAN	24.661352082	25.517091878	24.163903061	255845.97959	-0.005757339	25.514927455	25.99483817	25.142782427	-0.005798363	-0.01026	-0.01034	-0.006944	-0.007013
20000509	MEAN	24.54987249	25.489668408	25.028507673	290460.37959	0.001327049	25.345011211	25.790498879	25.140367819	0.0012760816	-0.01185	-0.011893	-0.010121	-0.010145
20000510	MEAN	24.332397959	25.196364857	24.372959184	273861.97143	-0.015852	25.3484375	25.805397727	25.086877635	-0.016083849	-0.026732	-0.026839	-0.023454	-0.023575
20000511	MEAN	24.502614816	25.458290816	23.078188776	345229.78367	0.018247302	25.446086712	25.887246622	24.294117689	0.0180672531	0.020528	0.020349	0.013096	0.012887
20000512	MEAN	24.784630163	25.773214327	24.911479673	290933.54694	0.0021794204	25.6328125	26.095738636	25.50876046	0.0021322816	0.008393	0.008369	0.004581	0.004504
20000515	MEAN	24.819961755	25.696045918	25.141709184	286138.22041	0.005918249	25.847377232	26.303710938	25.482747417	0.0059013102	0.020684	0.020661	0.004777	0.004744
20000516	MEAN	25.143303592	26.102678571	25.460331633	312918.84082	0.0085021714	26.333888889	26.808888889	25.566567686	0.0084594408	0.01373	0.013717	0.008265	0.008238
20000517	MEAN	25.062818898	25.810841837	24.842028082	239132.63265	-0.007874	25.409444444	25.835555556	25.709793431	-0.007961139	-0.013435	-0.013515	-0.006213	-0.006281
20000518	MEAN	24.999362286	25.773915878	23.329719429	232435.2449	-0.002710029	25.492081448	25.93905543	24.761151577	-0.002768678	-0.010504	-0.010545	-0.005707	-0.005753
20000519	MEAN	24.542091878	25.403635224	22.516262816	266793.57959	-0.00952302	25.4	25.861527778	24.653005847	-0.00952302	-0.024193	-0.024222	-0.015355	-0.015382
20000522	MEAN	24.154081633	25.190943918	24.304400571	272744.69796	-0.008344122	25.216399336	25.694966814	25.149218792	-0.008344122	-0.00779	-0.007793	-0.015315	-0.015347
20000523	MEAN	24.237691347	25.088839306	23.978826571	301535.09796	-0.004515478	25.130972222	25.587222222	24.98595063	-0.00458569	-0.023392	-0.023407	-0.014365	-0.014404
20000524	MEAN	23.984885224	25.003826531	24.322193878	305335.65714	-0.00114178	24.852835903	25.31910793	24.847411088	-0.001448759	0.015594	0.015542	-0.008838	-0.008963
20000525	MEAN	23.933864816	24.863201551	23.781377551	272864.11429	-0.005902996	24.6175	25.091805556	25.010394619	-0.006027269	-0.011704	-0.011729	-0.005175	-0.005233
20000526	MEAN	23.658290816	24.50809951	23.69062502	213144.08163	-0.003641106	24.566545759	25.066824777	24.321965768	-0.003641106	-0.0018	-0.001877	-0.002743	-0.002849
20000530	MEAN	23.832844408	24.702104612	24.112117388	258400.54694	0.0133683388	24.825221239	25.28125	24.353360377	0.013212351	0.037875	0.037791	0.021635	0.021549
20000531	MEAN	23.98877551	24.995280612	24.268431184	281242.02857	-0.000877771	24.998755531	25.489076327	24.449395597	-0.000970331	-0.001975	-0.002129	0.002836	0.002763
